0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,20
0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,20
0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,20
0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,20
0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
